_id,ID,Count,Temp,Hum,timestamp
66670c99a1b633cd774214df,185,278,29.95,54.73,2024-06-10T17:24:25.000Z
66670ca2a1b633cd774214e0,246,278,30.69,54.1,2024-06-10T17:24:34.000Z
66670cb6a1b633cd774214e1,246,279,30.7,53.94,2024-06-10T17:24:54.000Z
66670cc1a1b633cd774214e2,185,280,29.98,54.45,2024-06-10T17:25:05.000Z
66670ccaa1b633cd774214e3,246,280,30.69,53.94,2024-06-10T17:25:14.000Z
66670cd5a1b633cd774214e4,185,281,29.98,54.41,2024-06-10T17:25:25.000Z
66670cdea1b633cd774214e5,246,281,30.72,53.94,2024-06-10T17:25:34.000Z
66670ce9a1b633cd774214e6,185,282,30,54.54,2024-06-10T17:25:45.000Z
66670cf2a1b633cd774214e7,246,282,30.76,54.7,2024-06-10T17:25:54.000Z
66670cfea1b633cd774214e8,185,283,30.4,54.48,2024-06-10T17:26:06.000Z
66670d06a1b633cd774214e9,246,283,30.77,53.91,2024-06-10T17:26:14.000Z
66670d11a1b633cd774214ea,185,284,30.5,54.38,2024-06-10T17:26:25.000Z
66670d1aa1b633cd774214eb,246,284,30.75,5,2024-06-10T17:26:34.000Z
66670d2ea1b633cd774214ec,246,285,30.76,53.97,2024-06-10T17:26:54.000Z
66670d39a1b633cd774214ed,185,286,30.12,54.6,2024-06-10T17:27:05.000Z
66670d42a1b633cd774214ee,246,286,30.76,54.1,2024-06-10T17:27:14.000Z
66670d4da1b633cd774214ef,185,287,30.12,54,2024-06-10T17:27:25.000Z
66670d56a1b633cd774214f0,246,287,30.77,53.91,2024-06-10T17:27:34.000Z
66670d61a1b633cd774214f1,185,288,30.15,54.6,2024-06-10T17:27:45.000Z
66670d6aa1b633cd774214f2,246,288,30.76,54.1,2024-06-10T17:27:54.000Z
66670d75a1b633cd774214f3,185,289,30.13,54.66,2024-06-10T17:28:05.000Z
66670d7ea1b633cd774214f4,246,289,30.8,53.85,2024-06-10T17:28:14.000Z
66670d89a1b633cd774214f5,185,290,30.15,54.73,2024-06-10T17:28:25.000Z
66670d92a1b633cd774214f6,246,290,30.8,53.94,2024-06-10T17:28:34.000Z
66670d9da1b633cd774214f7,185,291,30.15,54.41,2024-06-10T17:28:45.000Z
66670da6a1b633cd774214f8,246,291,30.81,53.97,2024-06-10T17:28:54.000Z
66670db1a1b633cd774214f9,185,292,30.13,54.63,2024-06-10T17:29:05.000Z
66670dbaa1b633cd774214fa,246,292,30.83,54.13,2024-06-10T17:29:14.000Z
66670dcea1b633cd774214fb,246,293,30.86,54.38,2024-06-10T17:29:34.000Z
66670de2a1b633cd774214fc,246,294,30.87,54.38,2024-06-10T17:29:54.000Z
66670deda1b633cd774214fd,185,295,30.19,54.76,2024-06-10T17:30:05.000Z
66670df6a1b633cd774214fe,246,295,30.87,54.13,2024-06-10T17:30:14.000Z
66670e01a1b633cd774214ff,185,296,30.19,54.79,2024-06-10T17:30:25.000Z
66670e0aa1b633cd77421500,246,296,30.86,54.35,2024-06-10T17:30:34.000Z
66670e15a1b633cd77421501,185,297,30.19,54.76,2024-06-10T17:30:45.000Z
66670e1ea1b633cd77421502,246,297,30.91,54.29,2024-06-10T17:30:54.000Z
66670e29a1b633cd77421503,185,298,30.18,55.1,2024-06-10T17:31:05.000Z
66670e32a1b633cd77421504,246,298,30.88,54.38,2024-06-10T17:31:14.000Z
66670e3da1b633cd77421505,185,299,30.16,55.2,2024-06-10T17:31:25.000Z
66670e46a1b633cd77421506,246,299,30.87,54.66,2024-06-10T17:31:34.000Z
66670e51a1b633cd77421507,185,300,30.16,55.4,2024-06-10T17:31:45.000Z
66670e5aa1b633cd77421508,246,300,30.86,54.38,2024-06-10T17:31:54.000Z
66670e65a1b633cd77421509,185,301,30.18,55.26,2024-06-10T17:32:05.000Z
66670e6ea1b633cd7742150a,246,301,30.9,54.7,2024-06-10T17:32:14.000Z
66670e82a1b633cd7742150b,246,302,30.87,54.66,2024-06-10T17:32:34.000Z
66670e96a1b633cd7742150c,246,303,30.87,54.63,2024-06-10T17:32:54.000Z
66670ea1a1b633cd7742150d,185,304,30.19,55.13,2024-06-10T17:33:05.000Z
66670eaaa1b633cd7742150e,246,304,30.88,54.76,2024-06-10T17:33:14.000Z
66670eb5a1b633cd7742150f,185,305,30.2,55.38,2024-06-10T17:33:25.000Z
66670ebea1b633cd77421510,246,305,30.93,54.88,2024-06-10T17:33:34.000Z
66670ec9a1b633cd77421511,185,306,30.23,55.7,2024-06-10T17:33:45.000Z
66670ed2a1b633cd77421512,246,306,30.9,55.7,2024-06-10T17:33:54.000Z
66670edda1b633cd77421513,185,307,30.23,55.35,2024-06-10T17:34:05.000Z
66670ee6a1b633cd77421514,246,307,30.9,55.2,2024-06-10T17:34:14.000Z
66670ef1a1b633cd77421515,185,308,30.25,55.57,2024-06-10T17:34:25.000Z
66670efaa1b633cd77421516,246,308,30.91,55.1,2024-06-10T17:34:34.000Z
66670f05a1b633cd77421517,185,309,30.23,55.29,2024-06-10T17:34:45.000Z
66670f0ea1b633cd77421518,246,309,30.9,54.88,2024-06-10T17:34:54.000Z
66670f22a1b633cd77421519,246,310,30.9,55.4,2024-06-10T17:35:14.000Z
66670f2da1b633cd7742151a,185,311,30.26,55.35,2024-06-10T17:35:25.000Z
